Term,Part of Speech,Definition,Source Details,Link to Source
adu',Transitive Verb,"vt.  peep at, peek at, observe furtively. Reversal: peek at. Hu adu' i che'lu‑hu gi tattin i kuttina. I peeked at my sister from behind the curtain. Ma tågu' yu' para bai hu adu' i famagu'un håfa bidan‑ñiñiha. They asked me to watch the children to see what they are doing. Hu adu' i patgun gi ka'ka' i petta. I peeped at the child through the crack of the door.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
afa'fa'i,Transitive Verb,"vt.  carry under the armpit. Reversal: carry under armpit. Ha afa'fa'i i pottan munedå‑ña, dispues ti ha tungu' månggi. He carried his wallet under his armpit and later did not know where it went. Hu afa'fa'i matå‑ña i asaguå‑hu ya umessalao. I wrapped my armpit around my husband's face and he screamed. Måolik yu' manafa'fa'i kosas sa' siguru na hu go'ti. I am good at carrying something under my armpit and holding onto it.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
afekta,Transitive Verb,vt.  affect. Reversal: affect. Maninafekta i taotao anai sessu tåya' kåndit. The people were affected when blackouts occurred frequently. Inafekta i gualu' nu i måtmun uchan. The crops were affected by the heavy rain. Ha afekta yu' sa' ti magåhit i sinangån‑ña. It affected me because she did not tell the truth.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åfgui,Transitive Verb,"vt.  add lime to (betel nut mixture); soak (fruits) in lime, when making candies or when pickling; soak before cooking. Reversal: add lime to. Umagagaga' i mama'un yanggin ma'åfgui. The betel nut mixture turns red when lime is added. Måolik i akunsehu i ufisinan hinemlu' pupbliku na mungnga ma'åfgui i mama'un sa' na'kånsit i afuk gi halum påchut. The advice of the Public Health Office is good to not add lime to the betel nut mixture because it can cause mouth cancer. Ma'åfgui esta i papåya para u makunsetba. The papaya for preserves has already been soaked in lime.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
å'fi,Transitive Verb,vt.  put (something) in a sling or support band. Reversal: put in sling. Hu å'fi i kannai‑hu ni piti. I used a sling for my painful arm. Ma å'fi i kannai‑hu anai matomba yu' ya appling. They put a sling on my arm when I fell and sprained it. Gaigi i a'fem‑mu gi papa' i apuyå'‑mu ha'. Your bandage is just underneath your bellybutton.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
afitma,Transitive Verb,"vt.  affirm, allege, assert. Reversal: affirm. Ha afitma i hues i sinisedi. The judge affirmed the incident. Hu afitma i dokumentu siha na mandinanchi. I affirmed that the documents were correct. I gubietnu ha afitma i che'chu' i kunggresu. The governor affirmed the work of the congress.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aflitu,Transitive Verb,vt.  fry. Reversal: fry. Hu aflitu i guihan para amotsan talu'åni. I fried fish for lunch. Mana'ayuda ma aflitu i tempura' para i giput. They are helping each other to fry the tempura for the party. Mañuñuli' yu' inaflitun kamuti para tengguång‑ta. I brought fried sweet potato for our packed snack.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åfti,Transitive Verb,"vt.  put a roof on, cover with a roof, install a roof on. Reversal: put roof on. Hu åfti di nuebu i atuf gimå'‑hu sa' esta bula sumi' ya mamamaila' i tiempun uchan. I changed the roof of my house because it had leaks and the rainy season is coming. Manmangonni' ayudu i hagå‑hu sa' para u ma'åfti i gima'‑ñiha på'gu. My daughter got some helpers because they are going to put a roof on her house. Hu åfti tempuråriu i lugåt manunu sa' maipi i semnak. I put a roof temporarily on the barbeque place because the sun is hot.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
afuetsas,Transitive Verb,"vt.  force, demand, compel, require. Reversal: force, require. Ha afuetsas gui' hålum. He forced his way in. Hu afuetsas gui' para u atan yu'. I compelled her to look at me. Nå'i yu' insigidas, sino bai hu afuetsas håo. Give it to me at once or I will force you to. Variant: fuetsa.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
Afuki,Transitive Verb,vt.  put lime on (betel nut). Reversal: put lime on (betel nut). Hu afuki i mamå'‑hu. I put lime on my betel nut chew. Hu afuki i papåya. I put lime on the papaya. Variant: åfgui.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
afuyut,Transitive Verb,"vt.  wrap up, roll up, enfold, make a ball of (by squeezing). Reversal: wrap (something), roll up. Ma'afuyut i kelaguin månnuk ni titiyas. The chicken kelaguen is wrapped in the tortilla. Hu afuyut i ampulå‑hu ni tuhåya. I wrapped my dirty clothes with the towel. Ma afuyut i alunan ni guafak. The pillow was rolled up in the mat. Afuyut ha' ennåo i ineksa'. Make that rice into balls.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ågang,Transitive Verb,"vt.  call (someone), beckon, summon. Reversal: call (someone). Ma ågang si Juan para u facho'chu'. They called Juan to work. I kotti ha ågang si Juan para u fåttu. The court summoned Juan to come. Nihi ta fanmanågang para ta fanma'ayuda. Let's call people to help us. Variant: ågan.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agångi,Transitive Verb,"vt.  call for, send for, invite. Reversal: call (someone) for. Agångi yu' fan as Pedro. Call Pedro for me. Na'ma'agångi i bisinu ni pulisiha. Call the police on behalf of the neighbor. Manma'agångi todu para i lisåyu. They were all called to the rosary.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agangñaihun,Transitive Verb,"vt.  announce for awhile, call for awhile, invite to. Reversal: announce. Ma'agangñaihun gi redio put i hunta agupa'. It was announced for awhile on the radio about the meeting tomorrow. Ma'agangñaihun na tåya' cho'chu'. It was declared that there was no work. Manma'agangñaihun para u fanboka. They were invited to eat.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agåra,Transitive Verb,"vt.  covet, envy; grab up, claim another's property. Reversal: covet, claim (someone's property). Ha agåra gui' ni ramentan tatå‑ña siha anai humanåo si tatå‑ña para Amerika. He claimed all of his father's tools when his father left to America. Mampus gef ya‑ña managåra ni ti iyon‑ña. She really likes to claim things that do not belong to her. Ha agågara i iyun tåotao. He is claiming another person's property.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agradesi,Transitive Verb,"vt.  appreciate, value, cherish, accept. Reversal: appreciate, value (cherish), cherish. Ma agradesi mampus i nengkanu'. They really appreciated the food. Mampus ma agradesi i fina'na'guem‑mu. They really valued your teaching. Agradesi sa' ma nåna'i håo. Accept it because they are giving it to you.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
a'gu,Transitive Verb,"vt.  change (location), put one thing in place of another, shift, substitute, exchange. Reversal: change (something), exchange (something). A'gu fan i kustumbrem‑mu ya un mås na'maguf. Please change your attitude, so you can be more pleasant. Malagu' yu' hu a'gu i karetå‑hu sa' esta ti gof måolik. I want to change my car because it does not run well. Manma'a'gu i pine'lu gi tenda ya ti siña hu sodda' i para bai hu fåhan. They are shifting things around in the store and I cannot find what I needed to buy. Ha a'gu chalån‑ña i manglu', iståba ginin hahaya, på'gu ginin lilichan . The wind shifted direction; it was coming from the east, now it is from the south. A'gu ennåo i sapatos‑mu. Change your shoes.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agua',Transitive Verb,vt.  step over. Reversal: step over. I patgun ha agua' i fachi. The child stepped over the mud. Agua' fan i pala. Can you reach out for the shovel? Variant: hagua'.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aguaguåti,Transitive Verb,"vt.  argue for, quarrel with, disagree with,, dare (someone), persist strongly. Reversal: argue for, quarrel with, disagree with. Ha aguaguåti para u mana'hålum gi huegu. He argued for himself to be included in the game. Aguaguåti sa' ti ha tungu' håfa bidådana. Argue for it because he does not know what he is doing. Anai ha aguaguåti nai manå'i putfin nu i kareta. When he persisted strongly was when he was finally given the car.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aguånta,Transitive Verb,"vt.  endure; restrain oneself, resist; aggravate. Reversal: endure, restrain self, aggravate. Ha aguånta bula siha na prublema gi lina'lå'‑ña. He endured a lot of problems in his life. Put gof baba mampus i ekonomiha, ha aguånta i para u huchum i tendån‑ña. Because the economy was so bad, he restrained himself from closing his store. Inaguånta ni masåsangannaihun gui'. He was aggravated by what was being said about him.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
á'guatu,Transitive Verb,vt.  move over a bit. Reversal: move over. Ha na'a'guatu i siya anai para u láhihut gi neni‑ña. She moved the chair a bit to where she could be closer to her baby. Na'a'guatu dididi' i masetan floris sa' u potdong. Move the flower vase over a little because it might fall. Ha na'a'guatu si Mona i litråtun Jesus put para u annuk i litratu‑ña. Mona moved over Jesus's picture a bit so that her own picture will show. Variant: hátguatu.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aguguiyi,Transitive Verb,"vt.  take sides with, esp. in an attack; help (to do something so it is done right away). Reversal: go against, work together. Ma'aguguiyi i prohimu ni tres, sa' manbulåchu. The guy was beaten up by the three, because they were drunk. Maila' ya ta aguguiyi muna'gåsgas i uriyan guma'. Let us all help in cleaning around the house. Munhåyan ha' i che'chu' kumu ma aguguiyi. The work will be done if they all help out. Variant: aguiguiyi.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åguit,Transitive Verb,"vt.  throw, cast, fling. Reversal: throw. Ha åguit i tamma' gi kannai‑ña. He threw the marble from his hand. Åguit ennåo i talayå‑mu. Cast your fishing net. Måolik manåguit na talayeru. The net fisherman is a good thrower.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
agun,Transitive Verb,"vt.  do again. Reversal: do again. Ha agun tumufung i salåppi'. He counted the money over again. Agun tumåla' i magågu, sa' ti manggef anglu'. Dry the clothes again, because they're not very dry. Agun ta'lu chumo'gui ennåo. Do that all over again.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åhu,Transitive Verb,"vt.  cook young coconut meat with water, sugar, and starch. Gof ya‑hu umåhu i manha. I like to make porridge with the green coconut.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ahusta,Transitive Verb,vt.  adjust. Reversal: adjust. Ahusta ennåo i fallut. Adjust the lamp. Ti ha ahuhusta gui' trabiha gi klema. She hasn't adjusted to the climate yet.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aidentifika,Transitive Verb,vt.  identify. Reversal: identify. Esta ma'aidentifika i matai. The dead person has been identified. Kåo siña un aidentifika ennåo na tinanum? Can you identify that plant?,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
airi,Transitive Verb,"vt.  air out, ventilate. Ma airi i kuåttu, sa' gai paguan. They aired out the room, because it has an odor.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akatchayi,Transitive Verb,"vt.  tease, harass; deceive, cheat, rob. Reversal: tease, harass, rob. Si Pedro ha akatchayi si Juan. Pedro teased Juan. Manma'akatchayi i familia. The family was harassed. Guaha umakatchayi i lanchok‑ku. Someone robbed my farm. Ai, sa' guaha umakatchayi yu' gi ramentåk‑ku. Gosh, someone cheated me with my tools.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aketyu',Transitive Verb,vt.  coil (someone's) hair on head. Para u aketyu' yu' si nanå‑hu. My mother is going to coil my hair on my head. Bunitu i inaketyon‑ña si nanå‑hu nu guåhu. My mother made a beautiful coil of hair on my head.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akihum,Transitive Verb,"vt.  clench, grip tightly with hand, hold or grasp firmly; hold within oneself. Reversal: clench, grip, hold within self. Håfa na un akikihum kannai‑mu? Why are you clenching your fist? Bai hu nå'i håo nu esti, ya akihum, adahi na un baba, asta ki måttu håo gi gima'. I'm going to give you this, grip it tightly with your hand, don't open it until you come home. Ma'e'etdut kannai‑hu, ya ti siña yu' manakihum. My hand becomes numb, so I can't grasp anything. Mungnga ma'akihum i håfa para un sångan. Don't hold within you what you have to say.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åkka',Transitive Verb,vt.  bite. Reversal: bite. Ha åkka' yu' i kaimån. The crocodile bit me. Inakka' addeng‑ña si John ni atting. John was bitten on the leg by a large black ant. Puti inakka' sasata. It's painful to be stung by a wasp.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
aksepta,Transitive Verb,"vt.  accept, receive; agree, comply; be content with. Reversal: accept. In aksepta todu nina'in tåotao. We accept all gifts from the people. Manggågao si Lucio dispensasion ya inaksepta ha' as Jose. Lucio asked for forgiveness and Jose accepted it. Si Simon ha aksepta i manmatugi' siha na kondision put makumpattin fingkas familia. Simon accepted the written conditions regarding the division of family assets.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akudi,Transitive Verb,"vt.  assist, help, aid. Reversal: help, assist. Listu manmanakudi i pulusiha. Policemen are quick to assist. Manggågagao ayudu ya tåya' umakukudi. He's asking for help and no one is assisting. Akudi i patgun sa' gaigi gi fihun i chalan. Help the child because he's by the road.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akumpåña,Transitive Verb,"vt.  accompany, escort. Reversal: accompany. Para u inakumpåña i nobia hålum as tatå‑ña. The bride is going to be accompanied by her father. Kåo siña un akumpåña yu' para i tasi? Could you accompany me to the beach?",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akumpåra,Transitive Verb,"vt.  compare, make a comparison, contrast. Reversal: compare. Akumpåra ha' i dos, sa' ti parehu. Just compare the two, because they're not the same. Mungnga ma'akumpåra si Juan yan si Jose. Don't compare Juan and Jose. Si Maria ha akumpåra i dos mañågun månnuk. Maria compared the two mother hens. Variant: kumpåra.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akunseha,Transitive Verb,"vt.  advise, counsel, console. Reversal: advise, counsel, console. Bai hu akunseha håo sa' un nisisita. I will give you some advice, because you need it. Kininseha si Juan as tatå‑ña na mungnga malågu, sa' u matomba. Juan was advised by his father not to run, because he might fall. Hu akunseha si Jose, sa' kumåkati. I consoled Jose, because he was crying. Variant: kunseha.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akusa,Transitive Verb,vt.  accuse. Reversal: accuse. Mungnga yu' ma'akusa sa' tåya' bidåda‑hu båba. Don't accuse me because I am not doing anything bad. Hu akusa si Antonio na guaha nobiå‑ña. I accused Antonio of having a girlfriend. Ti ya‑hu manakusa tåotao. I don't like accusing people.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
akustumbra,Transitive Verb,"vt.  accustom (oneself), make (oneself) familiar by use. Reversal: accustom self. Mungnga ma'akustumbra hamyu na para en fanmasesetbi kafe kada ogga'an. Don't accustom yourselves to being served coffee every morning. Kalan ha akustutumbra gui' si Ne' para u å'assun gi amåka kada talu'åni. Manuel is getting used to lying in the hammock in the afternoon. I bisita ti ha akustutumbra gui' gi kutturan i tanu'. The visitor hasn't accustomed himself to the local culture.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
