Term,Part of Speech,Definition,Source Details,Link to Source
apbla,Intransitive Verb,"vi.  gossip. Reversal: gossip (spread rumors). Mungnga iya' umapbla gi bisinu. Try not to gossip with the neighbor. Estagui' ta'lu si Juan para u apbla. Juan is here again to gossip. Sigi fan manapbla hamyu, dispues guaha kumåti. You continue to gossip with each other, then someone ends up crying.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
apbleta,Intransitive Verb,vi.  gossip (spread rumors). Mungnga iya' na un apbleta put i sinisedi. Try not to gossip about what happened. Apbleta na tåotao humuyong‑ña. He ends up being a gossiping person.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åppan,Intransitive Verb,"vi.  recede (of water), dry up, become dry, evaporate. Reversal: dried up, evaporated. Måsa i hineksa' kumu åppan i hanum. The rice is cooked when the water disappears. Na'lokkluk i hanum, lao mungnga mana'åppan. Boil the water, but don't let it dry up. Saibuk i chetda esta ki åppan i letchen‑ña. Boil the banana until the liquid dries up.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
apu',Intransitive Verb,"vi.  lean against, rest in a recumbent position, lean the head back; depend on. Reversal: lean (on), depend on. Ha na'apu' i ilu‑ña ya dumiskånsa un råtu. He leaned his head and rested awhile. Umapu' i patgun gi apagå‑hu. The child leaned on my shoulder. Esta mankasåo låo mana'apu' ha' gi mañainan‑ñiha. They are already married but they are still depending on their parents.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åpus,Intransitive Verb,"vi.  smoke (cigarettes, cigar). Reversal: smoke cigarettes. Malagu' yu' pumåra umåpus. I want to stop smoking cigarettes.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
arima,Intransitive Verb,"vi.  get close, draw near, bring oneself nearer. Reversal: get close, move close, come close. Nai ha hunguk i kanta Apu mågi i apagå‑hu ya bai hu istoriåyi håo nu guåhu, mås umarima si Kolasa guatu gi as Nano. Fanarima, famagu'on‑hu, guaha para bai hu sangåni hamyu. Come closer, my children, I have something to tell you. Manarima i taotao anai oran manaitai. The people got together when it was time to pray. Umarima i patgun anai ha li'i' na mañuñuli' kandi i bihu. The child got closer when she saw that the old man had candy.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásagua,Intransitive Verb,"vi.  wed, get married, marry. Reversal: married, wed. Umásagua i dos gi gima' Yu'us. The two wed at the church. Umásagua si Anton yan si Filisia gi kotti. Anton and Filisia got married at the court.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásodda',Intransitive Verb,"vi.  meet with, fall in with. Reversal: meet. Hu na'asodda' i dos tåotao gi chalan. I made the two people meet on the road. Umasodda' i tata yan i lahi‑ña gi tenda gi Huebis. The father and the son met at the store on Thursday. Para u asodda' i nobia yan i nobiu gi mubi lamu'na. The girlfriend and the boyfriend will meet at the movie tonight. Variant: ásudda'.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åssun,Intransitive Verb,"vi.  recline, lie down. Reversal: lie down. Sessu dumiskånsa gi siyan umåssun. She frequently relaxes on the recliner. Umå'assun anai masusedi i linåo giya Luta. He was lying down when the earthquake occurred in Rota. Na'åssun, mungnga mana'oppuk. Make her lie on her back, not on her stomach.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
asu',Intransitive Verb,"vi.  tilted, leaning, bent; bend over, lean against, deflect. Reversal: tilted, lean (on). Na'asu' i trongku gi kellat åntis di un tånum. Lean the tree on the fence before planting. Todu i mai'is manasu' dispues di bibun månglu'. All the corn plants were leaning after the strong wind. Na'asu' un ratutu i lamasa ya u ånglu'. Tilt the table so that it will be dried. Uma'asu' si Ben gi trongkun niyuk sa' yayas. Ben is leaning against the coconut tree because he's tired.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásudda',Intransitive Verb,"vi.  meet (each other), fall in with. Reversal: meet. Hu na'asudda' i dos tåotao gi chalan. I made the two people meet on the road.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásufa',Intransitive Verb,"vi.  collide, clash, bump into each other. Reversal: collide. Umasufa' i dos gurupu gi bola. The two teams collided at the ballgame. Atan i dos binådu sa' para u asufa'. Look at the two deer because they are going to clash. Umasufa' i chiba yan i ga'lågu gi halum i paståhi. The goat and the dog clashed with each other in the pasture.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásupak,Intransitive Verb,"vi.  put oneself forward physically, insert oneself into a group, too forward (in manners), aggressive. Reversal: pushy (aggressive), put self forward, insert self in group. Asupak ennåo na tåotao sa' ya‑ña humålum gi gurupu siha. She's pushy because she likes to include herself in different groups. Taimamahlåo sa' gef asupak. He is shameless because he is very aggressive. Ti u fåttu ha' gi dinanña' sa' ti asupak. She will not come to the gathering because she does not want to be where she is not invited.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
ásustieni,Intransitive Verb,"vi.  embrace each other, support each other, hold on to. Uma'asustieni i dos tåotao anai kume'poddung gi kantit. The two men held on to each other when they were about to fall off the cliff. Si Juanita yan si Anuncia uma'asustieni anai para u makrusa i chalan. Juanita and Anuncia held on to each other when they were going to cross the street. Uma'asustieni i dos chume'lu kada gumuaha achåki gi halum familian‑ñiha. The siblings support each other whenever there is a challenging situation in their family.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átaga',Intransitive Verb,vi.  cut each other. Umataga' si Jesus yan si James nigap na talu'åni. Jesus and James cut each other yesterday afternoon. Umataga' i dos chiba anai mumu gi halum kollat. The two goats cut each other when they were fighting in the corral. Adahi na in ataga' na dos ni machetti yanggin manu'utut hamyu håyu. Be careful not to cut each other with the machete when you're cutting wood.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
atagga',Intransitive Verb,"vi.  blush; have a reddish color or flushed complexion, as when sunburned. Reversal: blush, sunburned. Umatagga' si Bertilia anai sinangåni as Jess na guinaiya gui'. Bertilia blushed when Jess told her he loves her. I ma'gas Josephina ha na'mamåhlao si Josephina ya esta umatagga' gui'. Josephina's boss embarrassed her and she blushed. Umo'mak i patgun gi tasi disdi ogga'an ya mampus umatagga' gui'. The child swam in the ocean since this morning and he was sunburned. Mangguåssan si Derek gi gima' Emma ya umatagga' mampus. Derek mowed the lawn at Emma' house and he got sunburned. Mambola ham gi kantun tåsi gi Damenggu ya manatagga' ham todu. We played ball on the beach on Sunday and we all got sunburned.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átahgui,Intransitive Verb,"vi.  alternate, take turns. Reversal: alternate, take turns. Umatahgui Si Jack yan si Moståfa gi espitåt mamulan as nanan‑ñiha. Jack and Moståfa take turns at the hospital to watch their mother. Para u atahgui i dos chume'lu humånao para Guam. The two sisters will alternate going to Guam. Guaha atahguen‑ña si Juan gi iskuela. John has an alternate at school.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
atalak,Intransitive Verb,"vi.  stare, open eyes wide. Reversal: open eyes wide. Umatalak si Maria anai kume'poddung i nini‑ña gi gua'ut. Maria opened her eyes wide when her baby was about to fall on the stairs. Manatalak i taotao anai mali'i' i plen gera. The people opened their eyes wide when they saw the war plane. Umatalak yan kumåti i neni anai hinengngang ni che'lu‑ña. The baby opened her eyes wide and cried when her sister startled her.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
atgumentu,Intransitive Verb,vi.  argue. Reversal: argue. Manatgumementu ham. We are arguing. Mungnga manatgumentu put i babui. Don't argue about the pig. Variant: agumentu.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átiting,Intransitive Verb,"vi.  carry for each other. Umatiting si Josepha yan si Jacinta ni batdin hånum para i chikeru. Josepha and Jacinta carried the bucket of water to the pig pen. Mampus makkat i babui anai para u ma'uma, pues umatiting i dos taotao ni para u malangat. The pig was very heavy so the two people helped to carry it Umatiting ham nu i munton håyu guatu gi gima'. We carried the bundle of wood to the house.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átotpi,Intransitive Verb,"vi.  collide, clash, bump into, meet head on. Reversal: collide. Umatotpi i dos påtgun gi anai malålagu. The two kids bumped into each other when they were running. I dos dångkulun bus umatotpi gi chalan dikiki' sa' tåya' kåmpu. The two big buses collided on the narrow road for the space is too small. Guaha manatotpi gi chalan. There's a collision on the road.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
åtta,Intransitive Verb,"vi.  discharged (from the hospital). Reversal: discharged. Åtta i che'lu‑hu gi espitåt. My brother was discharged from the hospital. Bula manåtta na manmalångu gi espitåt gi ma'pus na simåna. Last week, there were many patients who got discharged from the hospital. Mana'såga si Celia gi espitåt nigap, lao esta åtta guini gi egga'an. Celia was admitted at the hospital yesterday, but she was discharged this morning.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
attuk,Intransitive Verb,"vi.  hide (oneself), conceal (oneself), remain out of sight. Reversal: hide (self). Uma'attuk si Ryan gi tattin trongkun åtbut. Ryan is hiding behind the flame tree. Para u attuk i patgun gi papa' lamasa. The child is going to hide under the table. Manattuk ham gi liyang anai para u påkyu gi ma'pus na såkkan. Last year, we hid in the cave when there was going to be a typhoon.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átugan,Intransitive Verb,vi.  pull apart. Reversal: pull apart. Umátugan i dos gåyu pilun‑ñiha. The two roosters pulled out each other's feathers. Humåhalla si Dolores yan si Anuncia ya umátugan kadenan‑ñiha. Dolores and Anuncia pulled each other and they broke each other's necklaces.,Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
átulaika,Intransitive Verb,"vi.  interchange, exchange, be in lieu of. Umatulaika si John yan si Herman ni låpis‑ñiha. John and Herman exchanged their pencils. Manatulaika i famagu'un siha ni magågun‑ñiha gi kuåttu. The children exchanged their clothes in the room. Umatulaika yu' yan i che'lu‑hu kareta. My sister and I exchanged cars. Anai ha nå'i yu' i tindera ni sepblåk‑ku, hu na'atulaika yan floris. When the cashier gave my change, I had it exchanged for a flower.",Revised and Updated Chamorro-English Dictionary,https://natibunmarianas.org/chamorro-dictionary/
